model_error,format_error,batch_size,n_policy_types,policy_types,max_n_requirements,iteration,chunk,time,total,success,fail,wrong,accuracy,strict_exact_match,prompt_tokens,completion_tokens,total_cost,diff,raw_output
,,1,3,loadbalancing reachability waypoint,99,0,0,5.053,3,3,0,0,1.0,1,861,316,0,{},"{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""athens"": [""100.0.29.0/24""]
    },
    ""waypoint"": {
      ""(athens,100.0.29.0/24)"": [""london""]
    },
    ""loadbalancing"": {
      ""(athens,100.0.29.0/24)"": 3
    }
  }
}"
,,3,3,loadbalancing reachability waypoint,99,0,0,4.078,9,9,0,0,1.0,1,983,490,0,{},"{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""athens"": [""100.0.29.0/24""],
      ""strasbourg"": [""100.0.1.0/24""],
      ""luxembourg"": [""100.0.4.0/24""]
    },
    ""waypoint"": {
      ""(athens,100.0.29.0/24)"": [""london""],
      ""(strasbourg,100.0.1.0/24)"": [""kiev""],
      ""(luxembourg,100.0.4.0/24)"": [""basel""]
    },
    ""loadbalancing"": {
      ""(athens,100.0.29.0/24)"": 3,
      ""(strasbourg,100.0.1.0/24)"": 2,
      ""(luxembourg,100.0.4.0/24)"": 4
    }
  }
}"
,,11,3,loadbalancing reachability waypoint,99,0,0,17.195,33,33,0,0,1.0,1,1496,2876,0,{},"{
  ""reachability"": {
    ""athens"": [""100.0.29.0/24""],
    ""strasbourg"": [""100.0.1.0/24""],
    ""luxembourg"": [""100.0.4.0/24"", ""100.0.1.0/24""],
    ""frankfurt"": [""100.0.29.0/24""],
    ""zurich"": [""100.0.9.0/24""],
    ""vienna"": [""100.0.1.0/24""],
    ""istanbul"": [""100.0.9.0/24""],
    ""kiev"": [""100.0.29.0/24""],
    ""budapest"": [""100.0.29.0/24""],
    ""rotterdam"": [""100.0.29.0/24""]
  },
  ""waypoint"": {
    ""(athens,100.0.29.0/24)"": [""london""],
    ""(strasbourg,100.0.1.0/24)"": [""kiev""],
    ""(luxembourg,100.0.4.0/24)"": [""basel""],
    ""(frankfurt,100.0.29.0/24)"": [""london""],
    ""(zurich,100.0.9.0/24)"": [""rotterdam""],
    ""(luxembourg,100.0.1.0/24)"": [""kiev""],
    ""(vienna,100.0.1.0/24)"": [""kiev""],
    ""(istanbul,100.0.9.0/24)"": [""rotterdam""],
    ""(kiev,100.0.29.0/24)"": [""london""],
    ""(budapest,100.0.29.0/24)"": [""london""],
    ""(rotterdam,100.0.29.0/24)"": [""london""]
  },
  ""loadbalancing"": {
    ""(athens,100.0.29.0/24)"": 3,
    ""(strasbourg,100.0.1.0/24)"": 2,
    ""(luxembourg,100.0.4.0/24)"": 4,
    ""(frankfurt,100.0.29.0/24)"": 2,
    ""(zurich,100.0.9.0/24)"": 3,
    ""(luxembourg,100.0.1.0/24)"": 4,
    ""(vienna,100.0.1.0/24)"": 2,
    ""(istanbul,100.0.9.0/24)"": 2,
    ""(kiev,100.0.29.0/24)"": 3,
    ""(budapest,100.0.29.0/24)"": 3,
    ""(rotterdam,100.0.29.0/24)"": 2
  }
}"
,,33,3,loadbalancing reachability waypoint,99,0,0,36.112,99,99,0,0,1.0,1,2868,6593,0,{},"{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""athens"": [""100.0.29.0/24""],
      ""strasbourg"": [""100.0.1.0/24"", ""100.0.29.0/24""],
      ""luxembourg"": [""100.0.4.0/24"", ""100.0.1.0/24""],
      ""frankfurt"": [""100.0.29.0/24"", ""100.0.9.0/24""],
      ""zurich"": [""100.0.9.0/24""],
      ""vienna"": [""100.0.1.0/24"", ""100.0.9.0/24""],
      ""istanbul"": [""100.0.9.0/24""],
      ""kiev"": [""100.0.29.0/24"", ""100.0.4.0/24""],
      ""budapest"": [""100.0.29.0/24"", ""100.0.4.0/24""],
      ""rotterdam"": [""100.0.29.0/24"", ""100.0.4.0/24""],
      ""geneva"": [""100.0.1.0/24"", ""100.0.4.0/24""],
      ""lyon"": [""100.0.9.0/24""],
      ""roma"": [""100.0.29.0/24""],
      ""brussels"": [""100.0.1.0/24""],
      ""bucharest"": [""100.0.1.0/24""],
      ""marseille"": [""100.0.9.0/24""],
      ""barcelona"": [""100.0.1.0/24"", ""100.0.29.0/24""],
      ""praha"": [""100.0.4.0/24""],
      ""paris"": [""100.0.29.0/24""],
      ""madrid"": [""100.0.29.0/24""],
      ""warsaw"": [""100.0.4.0/24""],
      ""sofia"": [""100.0.9.0/24""],
      ""bratislava"": [""100.0.4.0/24""],
      ""amsterdam"": [""100.0.4.0/24""]
    },
    ""waypoint"": {
      ""(athens,100.0.29.0/24)"": [""london""],
      ""(strasbourg,100.0.1.0/24)"": [""kiev""],
      ""(luxembourg,100.0.4.0/24)"": [""basel""],
      ""(frankfurt,100.0.29.0/24)"": [""london""],
      ""(zurich,100.0.9.0/24)"": [""rotterdam""],
      ""(luxembourg,100.0.1.0/24)"": [""kiev""],
      ""(vienna,100.0.1.0/24)"": [""kiev""],
      ""(istanbul,100.0.9.0/24)"": [""rotterdam""],
      ""(kiev,100.0.29.0/24)"": [""london""],
      ""(budapest,100.0.29.0/24)"": [""london""],
      ""(rotterdam,100.0.29.0/24)"": [""london""],
      ""(geneva,100.0.1.0/24)"": [""kiev""],
      ""(lyon,100.0.9.0/24)"": [""rotterdam""],
      ""(roma,100.0.29.0/24)"": [""london""],
      ""(brussels,100.0.1.0/24)"": [""kiev""],
      ""(bucharest,100.0.1.0/24)"": [""kiev""],
      ""(marseille,100.0.9.0/24)"": [""rotterdam""],
      ""(frankfurt,100.0.9.0/24)"": [""rotterdam""],
      ""(geneva,100.0.4.0/24)"": [""basel""],
      ""(rotterdam,100.0.4.0/24)"": [""basel""],
      ""(barcelona,100.0.1.0/24)"": [""kiev""],
      ""(vienna,100.0.9.0/24)"": [""rotterdam""],
      ""(praha,100.0.4.0/24)"": [""basel""],
      ""(paris,100.0.29.0/24)"": [""london""],
      ""(kiev,100.0.4.0/24)"": [""basel""],
      ""(budapest,100.0.4.0/24)"": [""basel""],
      ""(amsterdam,100.0.4.0/24)"": [""basel""],
      ""(madrid,100.0.29.0/24)"": [""london""],
      ""(barcelona,100.0.29.0/24)"": [""london""],
      ""(warsaw,100.0.4.0/24)"": [""basel""],
      ""(sofia,100.0.9.0/24)"": [""rotterdam""],
      ""(strasbourg,100.0.29.0/24)"": [""london""],
      ""(bratislava,100.0.4.0/24)"": [""basel""]
    },
    ""loadbalancing"": {
      ""(athens,100.0.29.0/24)"": 3,
      ""(strasbourg,100.0.1.0/24)"": 2,
      ""(luxembourg,100.0.4.0/24)"": 4,
      ""(frankfurt,100.0.29.0/24)"": 2,
      ""(zurich,100.0.9.0/24)"": 3,
      ""(luxembourg,100.0.1.0/24)"": 4,
      ""(vienna,100.0.1.0/24)"": 2,
      ""(istanbul,100.0.9.0/24)"": 2,
      ""(kiev,100.0.29.0/24)"": 3,
      ""(budapest,100.0.29.0/24)"": 3,
      ""(rotterdam,100.0.29.0/24)"": 2,
      ""(geneva,100.0.1.0/24)"": 5,
      ""(lyon,100.0.9.0/24)"": 6,
      ""(roma,100.0.29.0/24)"": 2,
      ""(brussels,100.0.1.0/24)"": 4,
      ""(bucharest,100.0.1.0/24)"": 2,
      ""(marseille,100.0.9.0/24)"": 4,
      ""(frankfurt,100.0.9.0/24)"": 2,
      ""(geneva,100.0.4.0/24)"": 3,
      ""(rotterdam,100.0.4.0/24)"": 3,
      ""(barcelona,100.0.1.0/24)"": 3,
      ""(vienna,100.0.9.0/24)"": 3,
      ""(praha,100.0.4.0/24)"": 2,
      ""(paris,100.0.29.0/24)"": 2,
      ""(kiev,100.0.4.0/24)"": 2,
      ""(budapest,100.0.4.0/24)"": 4,
      ""(amsterdam,100.0.4.0/24)"": 7,
      ""(madrid,100.0.29.0/24)"": 2,
      ""(barcelona,100.0.29.0/24)"": 2,
      ""(warsaw,100.0.4.0/24)"": 2,
      ""(sofia,100.0.9.0/24)"": 4,
      ""(strasbourg,100.0.29.0/24)"": 2,
      ""(bratislava,100.0.4.0/24)"": 4
    }
  }
}"
,,1,2,reachability waypoint,100,0,0,2.889,2,2,0,0,1.0,0,688,227,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}","{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""paris"": [""100.0.4.0/24""]
    },
    ""waypoint"": {
      ""(paris,100.0.4.0/24)"": [""basel""]
    }
  }
}"
,,2,2,reachability waypoint,100,0,0,4.795,4,4,0,0,1.0,0,728,459,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}","{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""paris"": [""100.0.4.0/24""],
      ""barcelona"": [""100.0.1.0/24""]
    },
    ""waypoint"": {
      ""(paris,100.0.4.0/24)"": [""basel""],
      ""(barcelona,100.0.1.0/24)"": [""kiev""]
    }
  }
}"
,,5,2,reachability waypoint,100,0,0,6.345,10,10,0,0,1.0,0,841,871,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}","{
    ""status"": ""ok"",
    ""result"": {
        ""reachability"": {
            ""paris"": [""100.0.4.0/24""],
            ""barcelona"": [""100.0.1.0/24""],
            ""roma"": [""100.0.9.0/24""],
            ""basel"": [""100.0.1.0/24""],
            ""kiev"": [""100.0.9.0/24""]
        },
        ""waypoint"": {
            ""(paris,100.0.4.0/24)"": [""basel""],
            ""(barcelona,100.0.1.0/24)"": [""kiev""],
            ""(roma,100.0.9.0/24)"": [""rotterdam""],
            ""(basel,100.0.1.0/24)"": [""kiev""],
            ""(kiev,100.0.9.0/24)"": [""rotterdam""]
        }
    }
}"
,,10,2,reachability waypoint,100,0,0,12.963,20,20,0,0,1.0,0,1046,2163,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}","{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""paris"": [""100.0.4.0/24"", ""100.0.29.0/24""],
      ""barcelona"": [""100.0.1.0/24"", ""100.0.4.0/24""],
      ""roma"": [""100.0.9.0/24""],
      ""basel"": [""100.0.1.0/24"", ""100.0.29.0/24""],
      ""kiev"": [""100.0.9.0/24""],
      ""vienna"": [""100.0.1.0/24""],
      ""milan"": [""100.0.4.0/24""]
    },
    ""waypoint"": {
      ""(paris,100.0.4.0/24)"": [""basel""],
      ""(barcelona,100.0.1.0/24)"": [""kiev""],
      ""(roma,100.0.9.0/24)"": [""rotterdam""],
      ""(basel,100.0.1.0/24)"": [""kiev""],
      ""(kiev,100.0.9.0/24)"": [""rotterdam""],
      ""(vienna,100.0.1.0/24)"": [""kiev""],
      ""(basel,100.0.29.0/24)"": [""london""],
      ""(barcelona,100.0.4.0/24)"": [""basel""],
      ""(paris,100.0.29.0/24)"": [""london""],
      ""(milan,100.0.4.0/24)"": [""basel""]
    }
  }
}"
,,25,2,reachability waypoint,100,0,0,26.247,50,50,0,0,1.0,0,1598,4629,0,"{'dictionary_item_removed': [""root['loadbalancing']""]}","{
  ""status"": ""ok"",
  ""result"": {
    ""reachability"": {
      ""paris"": [""100.0.4.0/24"", ""100.0.29.0/24""],
      ""barcelona"": [""100.0.1.0/24"", ""100.0.4.0/24""],
      ""roma"": [""100.0.9.0/24"", ""100.0.4.0/24""],
      ""basel"": [""100.0.1.0/24"", ""100.0.29.0/24""],
      ""kiev"": [""100.0.9.0/24"", ""100.0.4.0/24"", ""100.0.29.0/24""],
      ""vienna"": [""100.0.1.0/24""],
      ""milan"": [""100.0.4.0/24""],
      ""praha"": [""100.0.1.0/24""],
      ""rotterdam"": [""100.0.4.0/24""],
      ""brussels"": [""100.0.9.0/24"", ""100.0.29.0/24""],
      ""sofia"": [""100.0.1.0/24""],
      ""frankfurt"": [""100.0.4.0/24""],
      ""bratislava"": [""100.0.4.0/24""],
      ""luxembourg"": [""100.0.4.0/24""],
      ""marseille"": [""100.0.4.0/24""],
      ""strasbourg"": [""100.0.4.0/24""],
      ""budapest"": [""100.0.29.0/24""],
      ""zurich"": [""100.0.9.0/24""]
    },
    ""waypoint"": {
      ""(paris,100.0.4.0/24)"": [""basel""],
      ""(barcelona,100.0.1.0/24)"": [""kiev""],
      ""(roma,100.0.9.0/24)"": [""rotterdam""],
      ""(basel,100.0.1.0/24)"": [""kiev""],
      ""(kiev,100.0.9.0/24)"": [""rotterdam""],
      ""(vienna,100.0.1.0/24)"": [""kiev""],
      ""(basel,100.0.29.0/24)"": [""london""],
      ""(barcelona,100.0.4.0/24)"": [""basel""],
      ""(paris,100.0.29.0/24)"": [""london""],
      ""(milan,100.0.4.0/24)"": [""basel""],
      ""(praha,100.0.1.0/24)"": [""kiev""],
      ""(rotterdam,100.0.4.0/24)"": [""basel""],
      ""(brussels,100.0.9.0/24)"": [""rotterdam""],
      ""(sofia,100.0.1.0/24)"": [""kiev""],
      ""(frankfurt,100.0.4.0/24)"": [""basel""],
      ""(roma,100.0.4.0/24)"": [""basel""],
      ""(kiev,100.0.4.0/24)"": [""basel""],
      ""(kiev,100.0.29.0/24)"": [""london""],
      ""(bratislava,100.0.4.0/24)"": [""basel""],
      ""(luxembourg,100.0.4.0/24)"": [""basel""],
      ""(marseille,100.0.4.0/24)"": [""basel""],
      ""(strasbourg,100.0.4.0/24)"": [""basel""],
      ""(budapest,100.0.29.0/24)"": [""london""],
      ""(zurich,100.0.9.0/24)"": [""rotterdam""],
      ""(brussels,100.0.29.0/24)"": [""london""]
    }
  }
}"
JSONDecodeError: Unterminated string starting at: line 63 column 7 (char 2741),,50,2,reachability waypoint,100,0,0,44.541,0,0,0,0,0,0,0,0,0,,
